,coffee_title,review_text,more_information
27,Rast Espressomischung Venezia,"Der ideale Kaffee fÃ¼r Espresso, Ristretto, Latte Macchiato, Cappuccino und dunkle Schale",https://kaffeezentrale.at/de/marken/rast/Espressomischung_Venezia_1000.cfm
28,LucaffÃ¨ Piccolo und Dolce,"sÃ¼ss, schokoladig, malzig mit vollem KÃ¶rper",https://kaffeezentrale.at/de/marken/lucaffe/Piccolo-Dolce_1000.cfm
29,La Semeuse Don Marco,"aromatisch, krÃ¤ftig, cremig und langanhaltend",https://kaffeezentrale.at/de/marken/la-semeuse/Don_Marco_1000.cfm
30,Mauro De Luxe 70/30,"schokoladig, harmonisch, wÃ¼rzig, aromatisch",https://kaffeezentrale.at/de/marken/mauro/De-Luxe-1000.cfm
31,Sirocco Tradizionale Espresso,"Schokoladig, stark, konsistent, lang anhaltend.",https://kaffeezentrale.at/de/marken/sirocco/Tradizionale_Espresso_500.cfm
32,La Semeuse Mocca Surfin,"Samtig, sÃ¼ss mit Fruchtaromen und einer feinen Mandelnote.",https://kaffeezentrale.at/de/marken/la-semeuse/Mocca_Leader_1000.cfm
33,Carlito Giubileo,Stark und ausgewogen,https://kaffeezentrale.at/de/marken/carlito/Giubileo-1000.cfm
34,Salimbene Superbar,Der Stoff aus dem die Espresso TrÃ¤ume.,https://kaffeezentrale.at/de/marken/salimbene/Superbar-1000.cfm
35,"Henauer Kaffee Irlanda Espresso, Mexiko","Aromen von Haselnuss, Kardamom und Lebkuchen",https://kaffeezentrale.at/de/marken/henauer-kaffee/Irlanda-1000.cfm
36,New York XXXX,"intensiv, vornehm, aromatisch, schokoladig",https://kaffeezentrale.at/de/marken/new-york/Extra_XXXX_250.cfm
37,Stoll Roma,"Feine Noten dunkler Schokolade, angenehme Nuss und Caramelnoten",https://kaffeezentrale.at/de/marken/stoll/Roma-1000.cfm
38,Hausbrandt Gourmet,"edel, nuanciert, fruchtig und sehr lang anhaltend",https://kaffeezentrale.at/de/marken/hausbrandt/Gourmet_1000.cfm
39,ParanÃ  Extra Bar Premium,"fruchtig, schokoladig, nussig und vollmundig",https://kaffeezentrale.at/de/marken/parana/Extra-Bar-Premium_1000.cfm
40,BlasercafÃ© Pura Vida,"leichte SÃ¤urenoten und zarte Bitternoten, leichte SÃ¼sse mit Noten von TropenfrÃ¼chten, Honig, Ruchbrot und Kakao",https://kaffeezentrale.at/de/marken/blasercafe/Pura-Vida_1000.cfm
41,Hausbrandt Academia,"vornehm, intensiv, ausgewogen",https://kaffeezentrale.at/de/marken/hausbrandt/Academia_1000.cfm
42,Mauro Premium 50/50,"wÃ¼rzig, schokoladig, harmonisch, rustikal",https://kaffeezentrale.at/de/marken/mauro/Ondadoro-1000.cfm
43,Moak Special Bar,"cremig, rauchig, wÃ¼rzig, krÃ¤ftig und lang anhaltend mit blumigen Noten und und Vanille",https://kaffeezentrale.at/de/marken/moak/Special_Bar_1000.cfm
44,Rast Espressomischung Roma,"Der ideale Kaffee fÃ¼r Espresso, Ristretto, Latte Macchiato, Cappuccino und dunkle Schale",https://kaffeezentrale.at/de/marken/rast/Espressomischung_Roma_1000.cfm
45,Mokaflor Gold 80% 20%,"intensiv, aromatisch, wÃ¼rzig, cremig, lang anhaltend mit Aromen von Biskuit, Vanille und Kakao",https://kaffeezentrale.at/de/marken/mokaflor/Gold_80_20_1000.cfm
46,BlasercafÃ© Verde,"Vollmundig, feine SÃ¤ure, balanciert mit Aromen von KrÃ¤uter, Nelke, Pfeffer und reifem Steinobst.",https://kaffeezentrale.at/de/marken/blasercafe/Verde_1000.cfm
47,Rast Espressomischung Sicilia,"WÃ¼rzig, vollmundig und krÃ¤ftig im Aroma",https://kaffeezentrale.at/de/marken/rast/Espressomischung_Sicilia_1000.cfm
48,Mokaflor Miscela Nera,"Cremig, sÃ¼ss, schokoladig und vollmundig",https://kaffeezentrale.at/de/marken/mokaflor/nera_1000.cfm
49,"Kaffa Wodiyo, Wild Coffee Collection No 2","Runder und geschmackvoller KÃ¶per mit Aromen von Barrique, Portwein, BaumnÃ¼sse, und Caramel.",https://kaffeezentrale.at/de/marken/kaffa/Wodiyo-400.cfm
50,Passalacqua Moana,Weich. Blumig. Vollmundig. ,https://kaffeezentrale.at/de/marken/passalacqua/Moana-1000.cfm
51,Quarta CaffÃ¨ Oro Avio,"SÃ¼ss, rund, vollmundig mit weichem aber extra langen Abgang.",https://kaffeezentrale.at/de/marken/quarta-caffe/Specialita-Avio-500.cfm
52,Quarta CaffÃ¨ Barocco ,"Mild, sÃ¼ss, ausgewogen samtig mit vollmundigen Abgang",https://kaffeezentrale.at/de/marken/quarta-caffe/Barocco-1000.cfm
53,"Kaffa Mankira, Wild Coffee Collection No 1","Aromen von frischer Butter, TannenschÃ¶ssli, Macadamia und SÃ¼ssholz und mit einem weichen MundgefÃ¼hl",https://kaffeezentrale.at/de/marken/kaffa/Mankira-400.cfm
54,Pausa CaffÃ¨ Miscela Bar,"Cremig, stark, konsistent, beharrlich.",https://kaffeezentrale.at/de/marken/pausa-caffe/Bar_1000.cfm
55,Carlito Brasil,"SÃ¼ss, fruchtig und ausgewogen",https://kaffeezentrale.at/de/marken/carlito/Brasil-1000.cfm
56,Tre Forze Espresso,"schokoladig, nussig, samtig und schonend",https://kaffeezentrale.at/de/marken/tre-forze/Espresso-500.cfm
57,ParanÃ  Espresso Italiano,"vollmundig, cremig und schokoladig",https://kaffeezentrale.at/de/marken/parana/Espresso-Italiano_1000.cfm
58,Hausbrandt Trieste,"Stark, weich, samtig und ausgewogen mit feinen Noten von Bitterkakao im Abgang",https://kaffeezentrale.at/de/marken/hausbrandt/Trieste_1000.cfm
59,Passalacqua Mekico,Vollmundig. Harmonisch. Elegant.,https://kaffeezentrale.at/de/marken/passalacqua/Mekico-1000.cfm
60,Rast Malabar monsooned Aspinwall,"WÃ¼rzig, rÃ¶startig, nussig und leicht erdig, mittlerer KÃ¶rper mit langanhaltender Abgang",https://kaffeezentrale.at/de/marken/rast/Malabar_250.cfm
61,GM CaffÃ¨ Superiore,"kraftvoll, wÃ¼rzig, rassig, lang anhaltend",https://kaffeezentrale.at/de/marken/gm-caffe/Superiore_1000.cfm
62,Sirocco Tradizionale Crema,Cremig und mild,https://kaffeezentrale.at/de/marken/sirocco/Tradizionale_Crema_500.cfm
63,Stoll Pegaso,"Schokoladig, vollmundig und lang anhaltend",https://kaffeezentrale.at/de/marken/stoll/Pegaso-1000.cfm
64,Lavazza Grand Espresso,"Vollmundig, intensiv, wÃ¼rzig mit leichten GewÃ¼rz- und Schokoladenoten",https://kaffeezentrale.at/de/marken/lavazza/Grand_Espresso_1000.cfm
65,Tre Forze Espresso,"schokoladig, nussig, samtig und schonend",https://kaffeezentrale.at/de/marken/tre-forze/Espresso-250.cfm
66,GM CaffÃ¨ Nobile,"sÃ¼ss, samtig mit vollem Abgang",https://kaffeezentrale.at/de/marken/gm-caffe/Nobile_1000.cfm
67,Chicco d'Oro Miscela Bar,"Stark, vollmundig und intensiv",https://kaffeezentrale.at/de/marken/chicco-doro/Miscela_Bar_1000.cfm
68,Costadoro Master Club,"Schmeichelnd, aromatisch, elegant",https://kaffeezentrale.at/de/marken/costadoro/Master_Club_1000.cfm
69,Kaffa Espresso,"elegant, spritzig, sÃ¼sslich, fruchtig",https://kaffeezentrale.at/de/marken/kaffa/Wildkaffee_Espresso_220.cfm
70,La Semeuse Il Piacere,"aromatisch, krÃ¤ftig, cremig und langanhaltend",https://kaffeezentrale.at/de/marken/la-semeuse/Il_Piacere_250.cfm
71,Moak Bar Stella,"sÃ¼ss, wÃ¼rzig, ausgewogen, cremig und krÃ¤ftig",https://kaffeezentrale.at/de/marken/moak/Bar_Stella_1000.cfm
72,Rast Kaffeemischung Mocca,KrÃ¤ftige Mischung aus den besten Arabicas,https://kaffeezentrale.at/de/marken/rast/Kaffeemischung_Mocca_1000.cfm
73,Claro Ãromo,"schokoladig, fruchtig mit wilden BlÃ¼ten",https://kaffeezentrale.at/de/marken/claro/oromo_500.cfm
74,LucaffÃ¨ Mister Exklusive,"sÃ¼ss, samtig mit Noten von Schokolade und einem vollen Abgang",https://kaffeezentrale.at/de/marken/lucaffe/Exklusive_250.cfm
75,GM CaffÃ¨ Super Extra Bar,"schokoladig, haselnussig mit vollem KÃ¶rper",https://kaffeezentrale.at/de/marken/gm-caffe/Super-Extra-Bar_1000.cfm
76,Chicco d'Oro Espresso Fairtrade,"Schokoladig, wÃ¼rzig, vollmundig und ausgewogen",https://kaffeezentrale.at/de/marken/chicco-doro/Max_Havelaar_1000.cfm
77,ParanÃ  Extra Bar,"intensiv, vollmundig und erinnert an Bitterschokolade",https://kaffeezentrale.at/de/marken/parana/Extra-Bar_1000.cfm
78,Mauro Premium 50/50,"wÃ¼rzig, voll, robust, herb",https://kaffeezentrale.at/de/marken/mauro/Special-Espresso-500.cfm
79,LucaffÃ¨ BlucaffÃ¨,"fruchtig, wÃ¼rzig, sÃ¼ss, zarte Bitternoten mit vollem KÃ¶rper",https://kaffeezentrale.at/de/marken/lucaffe/Blucaffe_700.cfm
80,New York CaffÃ¨ Crema,"mild, fruchtig, vanille und sÃ¼ss",https://kaffeezentrale.at/de/marken/new-york/crema_1000.cfm
81,La Semeuse Mocca Bio,"Cremig, sÃ¼ss, Schokolade mit Aromen von gerÃ¶steten TrockenfrÃ¼chten",https://kaffeezentrale.at/de/marken/la-semeuse/Mocca-Bio-500.cfm
82,Costadoro Espresso,"vollmundig, elegant und aromatisch",https://kaffeezentrale.at/de/marken/costadoro/Caffe_1000.cfm
83,Stoll Hausmischung,"Hell, fruchtig und fein",https://kaffeezentrale.at/de/marken/stoll/Hausmischung_1000.cfm
84,SchreyÃ¶gg Espresso Bar,"Cremig, aromatisch, weich und ausgeglichen",https://kaffeezentrale.at/de/marken/schreyoegg/Espresso-Bar-1000.cfm
85,Salimbene Caffetteria,"Vollmundig, intensiv, rund und zartbitter mit starken KÃ¶rper.",https://kaffeezentrale.at/de/marken/salimbene/Caffetteria-1000.cfm
86,Stadt RÃ¶sterei Kaffee Hausmischung,"Nussig, schokoladig, leicht fruchtig, ausgewogen und harmonisch.",https://kaffeezentrale.at/de/marken/stadt-roesterei/Kaffee-Hausmischung-500.cfm
87,LucaffÃ¨ Classic,"sÃ¼ss, schokoladig, weich, mit anhaltendem Abgang",https://kaffeezentrale.at/de/marken/lucaffe/Classic_250.cfm
88,"Rast Aceh Mandheling, Gayo, Sumatra","Duftet nach gerÃ¶steten HaselnÃ¼ssen, hat wÃ¼rzige Aromen von Himbeeren und Schokolade und einen krÃ¤ftigen KÃ¶rper.",https://kaffeezentrale.at/de/marken/rast/Aceh-Mandheling-250.cfm
89,Pausa CaffÃ¨ Miscela Gourmet,"Cremig, stark mit Aromen wie Vanille, Blumen und Cacao.",https://kaffeezentrale.at/de/marken/pausa-caffe/Gourmet_1000.cfm
90,SchreyÃ¶gg CaffÃ¨ Crematic,"Cremig, aromatisch, weich und ausgeglichen",https://kaffeezentrale.at/de/marken/schreyoegg/Crematic-1000.cfm
91,Claro Melado,"sÃ¼ss, fruchtig und wÃ¼rzig",https://kaffeezentrale.at/de/marken/claro/Melado-500.cfm
92,Diemme Miscela Bar Prestigio,"Blumig, sÃ¼ss mit Nuancen von Kakao",https://kaffeezentrale.at/de/marken/diemme/Miscela-Bar-Prestigio-1000.cfm
93,Pausa CaffÃ¨ Miscela Mocca,"Ein wahrer Mocca-Espresso, cremig, stark, intensiv und beharrlich.",https://kaffeezentrale.at/de/marken/pausa-caffe/Mocca_1000.cfm
94,Salimbene Deliziosa,"Stark, cremig, sÃ¼ss mit Haselnuss Noten",https://kaffeezentrale.at/de/marken/salimbene/Deliziosa-1000.cfm
95,Rast Kaffeemischung Eldorado,Zusammengestellt aus den besten Arabicas der Welt,https://kaffeezentrale.at/de/marken/rast/Kaffeemischung_Eldorado_1000.cfm
96,BlasercafÃ© Classico,"SÃ¼ss, ausgewogen, blumig, Caramel, Apfel und SablÃ©-GebÃ¤ck.",https://kaffeezentrale.at/de/marken/blasercafe/Classico-1000.cfm
97,"Kaffa La Chacra D'Dago, Crema","SÃ¼ss, ausgewogen mit Noten von Sternfrucht, Aprikose, SechuanblÃ¼ten",https://kaffeezentrale.at/de/marken/kaffa/La-Chacra-D-Dago-Crema-500.cfm
98,Stoll Napoli,"wÃ¼rzig, wuchtig und lang anhaltend",https://kaffeezentrale.at/de/marken/stoll/Napoli-1000.cfm
99,Casa del CaffÃ¨ Electa,"Mild, schokoladig, weich und lang anhaltend",https://kaffeezentrale.at/de/marken/casa-del-caffe/Electa-1000.cfm
100,"Stoll Brasil, Bio","Das Aroma prÃ¤gen Beeren, Zitrus Noten, DÃ¶rrfrÃ¼chte und Milchschokolade.",https://kaffeezentrale.at/de/marken/stoll/Brasil-Bio-250.cfm
101,Jolly Crema,"weich, harmonisch, schokoladig mit lang anhaltendem Nachgeschmack",https://kaffeezentrale.at/de/marken/jolly/Crema_500.cfm
102,Mauro Centopercento Bio und Fairtrade,"SÃ¼ss und aromatisch, leicht fruchtig und blumig.",https://kaffeezentrale.at/de/marken/mauro/Roasted-Organic-1000.cfm
103,"Kaffa Yeyibito, Wild Coffee Collection No 3","Mild, leicht furchtig von reifen Brombeeren und Heidelbeeren mit Noten von dunkler Schokolade und Brot.",https://kaffeezentrale.at/de/marken/kaffa/Yeyibito-400.cfm
104,"MAME El Paraiso pink, EspressorÃ¶stung","zitrisch, blumig mit Noten von Pfirsich",https://kaffeezentrale.at/de/marken/mame/El-Paraiso-pink-Espresso-250.cfm
105,"Kaffa La Chacra D'Dago, Espresso","SÃ¼ss, vollmundig und Aromen von heller Schokolade, Banane und Kandiszucker",https://kaffeezentrale.at/de/marken/kaffa/La-Chacra-D-Dago-Espresso-500.cfm
106,SchreyÃ¶gg Espresso Exquisit ,"cremig, aromatisch und weich",https://kaffeezentrale.at/de/marken/schreyoegg/Bar-Exquisit-1000.cfm
107,Claro Espresso,"wÃ¼rzig, fruchtig und intensiv",https://kaffeezentrale.at/de/marken/claro/Espresso_500.cfm
108,Mokaflor Chiaroscuro,"Vanille, schokoladig, wÃ¼rzig und mit einem Abgang von Vanille, Pfeffer und Mango",https://kaffeezentrale.at/de/marken/mokaflor/Chiaroscuro_1000.cfm
109,Stadt RÃ¶sterei Espresso Hausmischung,"Schokoladig, nussig, zitrusartig und im Abgang einen zarten Duft von Karamell",https://kaffeezentrale.at/de/marken/stadt-roesterei/Espresso-Hausmischung-500.cfm
110,Moak Bar Servito,"mild, bekÃ¶mmlich, cremig, aromatisch",https://kaffeezentrale.at/de/marken/moak/Bar_Servito_1000.cfm
111,New York Costa Rica,"rassig, intensiv, rund und lang anhaltend",https://kaffeezentrale.at/de/marken/new-york/Costa_Rica_250.cfm
112,Sirocco Tradizionale Espresso Rubino,"Fruchtig, blumig, krÃ¤ftig und langem und intensivem Abgang",https://kaffeezentrale.at/de/marken/sirocco/Tradizionale_Rubino_500.cfm
113,Mauro Centopercento,"Fruchtig, blumig, intensiv und lang anhaltend",https://kaffeezentrale.at/de/marken/mauro/Centopercento-1000.cfm
114,Lavazza Super Crema,"Mild, cremig mit Aromen von Honig und Mandeln",https://kaffeezentrale.at/de/marken/lavazza/Super_Crema_1000.cfm
115,New York CaffÃ¨ Primeros,"Rund, aromatisch und kÃ¶rperreich, mit einer kleinen Schokoladenote im Abgang.",https://kaffeezentrale.at/de/marken/new-york/Primeros-250.cfm
116,Kaffa Medium,"vornehm, wÃ¼rzig und voller Aromen",https://kaffeezentrale.at/de/marken/kaffa/Wildkaffee_Medium_220.cfm
117,Stadt RÃ¶sterei Orang Utan,"SÃ¼ss, mild mit Geschmacksnoten von Orangen, dunkle Schokolade, Zimt und Nelken.",https://kaffeezentrale.at/de/marken/stadt-roesterei/Orang-Utan-500.cfm
118,ParanÃ  Organic Fairtrade,"vollmundig, cremig und schokoladig",https://kaffeezentrale.at/de/marken/parana/Organic-Fairtrade-1000.cfm
119,Moak Coffee Break,"Stark, intensiv, cremig und lang anhaltend",https://kaffeezentrale.at/de/marken/moak/Bar_Break_1000.cfm
120,"Rast Serrano Lavado, Sierra Maestra","Duftet wÃ¼rzig und nach Tabak, mit Aromen von Walnuss und dunkle Schokolade.",https://kaffeezentrale.at/de/marken/rast/Serrano-Lavado_250.cfm
121,Lavazza Tierra! Selection,"Blumig, intensiv und sÃ¼ss",https://kaffeezentrale.at/de/marken/lavazza/Tierra_1000.cfm
122,"BlasercafÃ© Terroir, Orang Utan, Sumatra","Panettone, Nelke, dunkle Schokolade. SÃ¼ss und volles MundgefÃ¼hl.",https://kaffeezentrale.at/de/marken/blasercafe/Orange-Utan-250.cfm
123,New York CaffÃ¨ Biologico,"fruchtig, leicht nussig, samtig und ausgewogen",https://kaffeezentrale.at/de/marken/new-york/Caffe-Biologico-250.cfm
124,RickliS KaffeerÃ¶sterei Crema,Eine Espressomischung mit geheimen Rezept fÃ¼r den echten Home Barista Champion.,https://kaffeezentrale.at/de/marken/ricklis-kaffeeroesterei/Crema_1000.cfm
125,Mokaflor Miscela Blu,"intensiv, stark, sÃ¼ss mit Kakaonoten und vollem KÃ¶rper",https://kaffeezentrale.at/de/marken/mokaflor/Misela-Blu-1000.cfm
126,"Rast Kerkeicoondah, Balahonnur Farm","Nussig, wÃ¼rzig, schokoladig duftet nach Wacholder, Malz und Kork mit Aromen von Brotkrusten. Starker KÃ¶rper mit langanhaltenden Abgang.",https://kaffeezentrale.at/de/marken/rast/Kerkeicoondah_250.cfm
127,Lavazza Top Class,"Schokoladig, sÃ¼ss, fruchtig und lang anhaltend",https://kaffeezentrale.at/de/marken/lavazza/Top_Glass_1000.cfm
128,"MAME Pearl, FilterrÃ¶stung","schokoladig, cremig, langanhaltend",https://kaffeezentrale.at/de/marken/mame/Pearl-Filter-250.cfm
129,"Kafischmitte Daterra, Brasilien","Kakao, Walnuss, Marzipan",https://kaffeezentrale.at/de/marken/kafischmitte/Daterra-333.cfm
130,valandtins garden Isule Dark Night,"KrÃ¤ftig, sÃ¤urearm und mit einer Nuance Bitterschokolade",https://kaffeezentrale.at/de/marken/valandtins-garden/Isule-Dark-Night-250.cfm
131,"Kaffa Goba Gessa, Wild Coffee Collection No 4","KrÃ¤ftig wÃ¼rzig mit feinen Fruchtnoten von Rhabarber, Akazie, Pinienkerne und einem Hauch Long Pepper",https://kaffeezentrale.at/de/marken/kaffa/Goba-Gessa-400.cfm
132,Rast Espressomischung Vesuvio,"Sehr zarte, feine SÃ¤ure, vollem KÃ¶rper, verfÃ¼hrerisches, intensives und wÃ¼rziges Aroma",https://kaffeezentrale.at/de/marken/rast/Espressomischung_Vesuvio_1000.cfm
133,"BlasercafÃ© Terroir, Brazil Capoeirinha Estate","Limited Edition: GerÃ¶stete Haselnuss, Schokolade, Toffee und Vanille. Weiches MundgefÃ¼hl",https://kaffeezentrale.at/de/marken/blasercafe/Capoeirinho-Estate-250.cfm
134,La Semeuse Soleil Levant Bio,"aromatisch, krÃ¤ftig, cremig und langanhaltend",https://kaffeezentrale.at/de/marken/la-semeuse/Soleil_Levant_Bio_und_Max_Havelaar_250.cfm
135,"Vertical Coffee Big Wall, EspressorÃ¶stung","Zartbitterschokolade, Mandeln, braune ZuckersÃ¼sse, wenig SÃ¤ure, voller KÃ¶rper",https://kaffeezentrale.at/de/marken/vertical-coffee/Big-Wall-Espresso-250.cfm
136,Tropical Mountains Mafioso,"Dunkel, Haselnuss, GewÃ¼rze und Schokolade mit einer feiner Fruchtigkeit",https://kaffeezentrale.at/de/marken/tropical-mountains/Mafioso-250.cfm
137,Carlito Speciale,Blumig und fruchtig.,https://kaffeezentrale.at/de/marken/carlito/Speciale-1000.cfm
138,"Vertical Coffee Brazil, Diamond, FilterrÃ¶stung","Kakao, Haselnuss, sÃ¼ss und ausgewogen, cremiger KÃ¶rper",https://kaffeezentrale.at/de/marken/vertical-coffee/Brasil-Diamond-Filter-250.cfm
139,"valandtins garden Isule Pure, Uganda",Fruchtig mit Noten von Beeren und Caramel,https://kaffeezentrale.at/de/marken/valandtins-garden/Isule-500.cfm
140,Stadt RÃ¶sterei Rwanda Jarama,"SÃ¼ss, Honig, Himbeere, Schokolade mit Noten von Rohzucker und Caramel, fabelhaft balanciert mit mittlerem KÃ¶rper",https://kaffeezentrale.at/de/marken/stadt-roesterei/Rwanda-Jarama-500.cfm
141,"Birchbach Tembo Tembo, Filter","Fruchtig frisch, Apfel und Cola",https://kaffeezentrale.at/de/marken/birchbach/Tembo-Tembo-200.cfm
142,"Rast Bukoba, Kagera","SÃ¼ss, stark, wÃ¼rzig, nussig, erdig, langanhaltender Abgang mit Aromen von dunkler Schockolade",https://kaffeezentrale.at/de/marken/rast/Bukoba-250.cfm
143,CoffeeCurator CuvÃ©e No 1,"Kurz, intensiv, schwer, nussig und stark.",https://kaffeezentrale.at/de/marken/coffeecurator/Cuvee-No-1-250.cfm
144,"MAME Full Bloom, FilterrÃ¶stung","nussig, weich, ausgewogen",https://kaffeezentrale.at/de/marken/mame/Full-Bloom-Filter-250.cfm
145,Zermatt RÃ¶sterei Ethiopia Sidamo,"Bergamotte, schwarzer Johannisbeere und Jasmin",https://kaffeezentrale.at/de/marken/zermatt-roesterei/Sidamo-250.cfm
146,New York Ethiopia,Adel verpflichtet,https://kaffeezentrale.at/de/marken/new-york/Ethiopia_250.cfm
147,"MAME Danilo El Diamante, EspressorÃ¶stung","Noten von Apfel, Rosinen und Zimt",https://kaffeezentrale.at/de/marken/mame/El-Diamante-Espresso-250.cfm
148,"MAME Birhanu, FilterrÃ¶stung",blumig mit Geschmacksnoten von Veilchen und roter Traube cremige Textur,https://kaffeezentrale.at/de/marken/mame/Birhanu-Filter-250.cfm
149,Moak Brasilea,"Vollmundig mit Noten von Lakritz, Schokolade und Honig.",https://kaffeezentrale.at/de/marken/moak/Brasilea-1000.cfm
150,Le Pedaleur Blanche,"OrangenblÃ¼ten, Jasmin, Zitrus, Rosenwasser, Cassis, orientalische GewÃ¼rze und Bitterschokolade mit einem krÃ¤ftigen und samtigen KÃ¶rper.",https://kaffeezentrale.at/de/marken/le-pedaleur/Blanche-250.cfm
151,GM CaffÃ¨ Old Tuscany Oak,"stark, erdig, holzig mit einer rauchigen Tabaknote",https://kaffeezentrale.at/de/marken/gm-caffe/Old-Tuscany-Oak-500.cfm
152,New York Java (Giava),"mild, voll, rund und nussig",https://kaffeezentrale.at/de/marken/new-york/Java_Giava_250.cfm
153,Salimbene Superbar,Der Stoff aus dem die Espresso TrÃ¤ume.,https://kaffeezentrale.at/de/marken/salimbene/Superbar-250.cfm
154,Costadoro Decaffinato,"Nussig, vollmundig und lang anhaltend, sehr ungewÃ¶hnlich fÃ¼r entkoffeiniert.",https://kaffeezentrale.at/de/marken/costadoro/Decaffinato-250.cfm
155,"Stoll Honduras, Bio",Schokoladig fruchtig und sÃ¼sslumig,https://kaffeezentrale.at/de/marken/stoll/Honduras-250.cfm
