,coffee_title,coffee_region,variety,production,roast,review_text,coffee_country
19,Spezialität gemahlener Kaffee „Ethiopia Burtukaana“,Guji,Heirloom,natural,medium," Rhabarber, Heidelbeere, Vanille",Ethiopia
20,Spezialität gemahlener Kaffee „Indonesia Sumatra“,"Sumatra, Aceh, Gayo","Tim tim, Ateng",giling basah,dark," Rotwein, brauner Zucker, Zimt",Indonesia
21,Spezialitätenkaffee „Nicaragua Maragogype“,Matagalpa,Maragogype,washed,medium," Honig, Karamell, Gewürze",Nicaragua
22,Sortenreine Kaffeebohnen „DR Congo Kivu“,Kivu,Bourbon,washed,dark," Marzipan, getrocknete Datteln, dunkle Schokolade",DR Congo
23,Spezialitätenkaffee „Papua New Guinea Sigri“,Wahgi Valley,Caturra,washed,medium," Lebkuchen, schwarzer Tee, Honig",Papua New Guinea
24,Spezialitätenkaffee „El Salvador Santa Petrona“,Santa Ana  ,Pacamara,natural,medium," Marzipan, Schokolade, Zitronenschale",El Salvador 
25,Spezialitätenkaffee „Ethiopia Burtukaana“,Guji,Heirloom,natural,medium," Rhabarber, Heidelbeere, Vanille",Ethiopia
26,Spezialitätenkaffee „Jamaica Blue Mountain“,"Clydesdale, Blue Mountains",Blue Mountain,washed,medium," Tamarinde, Orange, Vollmilchschokolade",Jamaica 
27,Sortenreine Kaffeebohnen „Kopi Luwak“,Zentral-Java,Typica,luwak,medium," Schokolade, Haselnuss, Karamell",Honduras
28,Spezialitätenkaffee „Ethiopia Yirgacheffe“,Yirgacheffee,Heriloom,washed,medium," Heidelbeere, Schwarze Johannisbeere, Vanille",Ethiopia
29,Spezialitätenkaffee „Nicaragua Maragogype“,Matagalpa,Maragogype,washed,medium," Honig, Karamell, Gewürze",Nicaragua
30,Sortenreine Kaffeebohnen „DR Congo Kivu“,Kivu,Bourbon,washed,dark," Marzipan, getrocknete Datteln, dunkle Schokolade",DR Congo
31,Spezialitätenkaffee „Papua New Guinea Sigri“,Wahgi Valley,Caturra,washed,medium," Lebkuchen, schwarzer Tee, Honig",Papua New Guinea
32,Spezialitätenkaffee „El Salvador Santa Petrona“,Santa Ana  ,Pacamara,natural,medium," Marzipan, Schokolade, Zitronenschale",El Salvador 
33,Spezialitätenkaffee „Ethiopia Burtukaana“,Guji,Heirloom,natural,medium," Rhabarber, Heidelbeere, Vanille",Ethiopia
34,Spezialitätenkaffee „Jamaica Blue Mountain“,"Clydesdale, Blue Mountains",Blue Mountain,washed,medium," Tamarinde, Orange, Vollmilchschokolade",Jamaica 
35,Sortenreine Kaffeebohnen „Kopi Luwak“,Zentral-Java,Typica,luwak,medium," Schokolade, Haselnuss, Karamell",Honduras
36,Spezialitätenkaffee „Ethiopia Yirgacheffe“,Yirgacheffee,Heriloom,washed,medium," Heidelbeere, Schwarze Johannisbeere, Vanille",Ethiopia
