coffee_title,roaster,coffee_origin,coffee_region,variety,roast_level,flavor
Monarch,Onyx Coffee Lab,"Ethiopia, Guatemala",not disclosed,not disclosed,Medium,chocolate    caramel    rich
Off Grid Organic Blend,Wonderstate Coffee,Guatemala,Huehuetenango,not disclosed,Very Dark,cocoa    roasty    rich
Redcab Espresso,Barefoot Coffee Roasters,Brazil,"Carmo de Minas, Sul de Minas",Bourbon and Catuai,Medium,chocolate    nutty    rich
Flying Monkey Espresso,PT's Coffee Roasting Co.,"Brazil, Colombia, Sumatra",not disclosed,not disclosed,Medium-dark,milk chocolate    graham cracker    balanced
S.O. Blend,Coava Coffee Roasters,The Americas & East Africa,not disclosed,not disclosed,Medium,chocolate    baking spice    rich
Sisters Blend,Sisters Coffee Company,"Brazil, Colombia, Peru, Rwanda","Mogiana, Tolima, Chanchamayo, Nyampinga","Bourbon, Red Bourbon, Colombia, Castillo, Caturra",Medium,walnut    cedar    full bodied
House Espresso,Klatch Coffee,"Central and South America, Indonesia",not disclosed,not disclosed,Medium,walnut    orange    rich
Organic One Black Espresso,Centri Coffee,"Colombia, Brazil","Matas de Minas, Mesa De Los Santos","Typica, Red Caturra, Catuaí, Yellow Catuaí, Castillo",Medium-light,chocolate    shortbread    syrupy
Colombia SugarCane Decaf,Topeca Coffee Roasters,Colombia,Pijao,not disclosed,Medium-light,caramel    citrus    full bodied
Espresso Noir Fair Trade & Organic,Tony's Coffee,Central and South America,not disclosed,not disclosed,Medium-dark,smoky    caramel    full bodied
Organic Toketee,Sightglass Coffee,"Central & South America, Pacific",Rotates seasonally,not disclosed,Medium,cacao nib    apricot    balanced
Organic Rainforest Blend ,Klatch Coffee,"Brazil, Colombia, Honduras, Guatemala",not disclosed,not disclosed,Medium,chocolate    caramel    full bodied
Diablo Blend Fair Trade & Organic,Ladro Roasting,not disclosed,not disclosed,not disclosed,Medium-dark,smoky    brown sugar    full bodied
Morning Sun,Olympia Coffee Roasting Co,Colombia,Tolima,"Caturra, Colombia",Medium,chocolate    hazelnut    full bodied
Caffe Del Sol,Caffe Vita Coffee Roasting Co,"South America, Indonesia, Africa",not disclosed,not disclosed,Medium,chocolate    caramel    complex
Dharma Espresso Blend,Temple Coffee,"Brazil, Guatemala, Ethiopia","Minas Gerais, Sidamo, Alotenango",not disclosed,Medium-light,fudge    almond    lingering
Three Pillars Blend,Temple Coffee,"Honduras, Colombia, Guatemala","Ocotepeque, Nariño, Antigua",not disclosed,Medium,chocolate    caramel    balanced
World Tour Organic Espresso Blend,Noble Coffee Roasting,"Brazil, Honduras, Ethiopia and Sumatra",not disclosed,not disclosed,Medium,nutty    chocolate    rich
Espresso 700,Kaldi's Coffee Roasting Co,"Guatemala, Brazil, El Salvador",not disclosed,not disclosed,Medium,caramel    chocolate    rich
Vancouver Swiss Water Decaf,Verve Coffee Roasters,not disclosed,Latin America,not disclosed,Medium,caramel    chocolate    full bodied
Organic Espresso Cuatro,Zoka Coffee Roasting Co,"Africa, Central and South America",not disclosed,not disclosed,Medium,chocolate    nutty    full bodied
Big Timber Blend,Evans Brothers Coffee Roasters,"Ethiopia, Guatemala, Sumatra",not disclosed,not disclosed,Medium-dark,smoky    chocolate    full bodied
Upland Fair Trade & Organic,Tony's Coffee,Central & South America,not disclosed,not disclosed,Medium,milk chocolate    almond    balanced
Blue Boy Blend,Methodical Coffee,"Guatemala, Colombia","Huehuetenango, Tolima","Bourbon, Caturra, Castillo",Medium,chocolate    brown sugar    balanced
Guatemala Huehuetenango Dark Roast,Evans Brothers Coffee Roasters,Guatemala,Huehuetenango,"Caturra, Catuaí, Bourbon, Pache",Medium-dark,dark chocolate    roasty    full bodied
The Sermon Espresso ,Verve Coffee Roasters,"Brazil, Colombia and Ethiopia","Minas Gerais, Cauca and Guji","Catuai, Bourbon and Ethiopian heirloom",Medium-light,fruity    chocolate    rich
Synthesis,Ceremony Coffee Roasters,Guatemala,Chimaltenango,"Typica, Bourbon, Caturra, Catuai",Medium,caramel    nutty    full bodied
Italian Roast,Klatch Coffee,"Brazil, Colombia, Guatemala, Sumatra",not disclosed,not disclosed,Medium-dark,toasty    nutty    rich
Ethiopia Kercha Natural,Cat & Cloud Coffee,Ethiopia,Guji,Ethiopian Heirloom,Medium-light,strawberry    chocolate    balanced
Organic West Coast Roast,Centri Coffee,South America,Various,not disclosed,Medium-dark,roasty    chocolate    full bodied
Big Joy Espresso,Camber Coffee,Guatemala,not disclosed,not disclosed,Medium-light,red apple    pear    complex
Big Truck Organic ,Olympia Coffee Roasting Co,"Colombia, Ethiopia",not disclosed,not disclosed,Medium,chocolate    berries    full bodied
Waxwing Blend,Red Rooster Coffee,"Colombia, Honduras","Huila, Marcala","Colombia, Castillo, Caturra, Bourbon",Medium,chocolate    caramel    full bodied
Bold and the Beautiful Organic,Spyhouse Coffee Roasters,not disclosed,Varies Seasonally,not disclosed,Medium,Crème Brûlée    black walnut    full bodied
Justice,Higher Grounds Coffee,"Ethiopia, Guatemala",not disclosed,not disclosed,Medium-light,caramel    citrus    delicate
Black & Tan,Colectivo Coffee,"Honduras, Peru",not disclosed,not disclosed,Very Dark,smoky    caramel    full bodied
Jaguar Espresso Fair Trade Organic,Equator Coffees & Teas,not disclosed,"Ethiopia, Sumatra, Peru",not disclosed,Medium-dark,nutty    baking spices    rich
Skeleton Key Decaf ,Huckleberry Roasters,Colombia,"Risaralda, Apia",not disclosed,Medium-light,chocolate    nutty    rich
Rwanda Kinaze Mbuye Hill,Portrait Coffee,Rwanda,Ruhango District,Red Bourbon,Medium-light,green apple    berry    bright
Honduras Damien Chavez Anaerobic,Cat & Cloud Coffee,Honduras,Santa Barbara,Parainema,Medium-light,watermelon    hibiscus    vibrant
Honduras Damien Chavez Washed,Cat & Cloud Coffee,Honduras,Santa Barbara,Parainema,Medium-light,lemon    nectarine    bright
Guatemala Women's Group Huehuetenango,Barefoot Coffee Roasters,Guatemala,"Aldea Q’om, Huehuetenango","Caturra, Catuaí, Bourbon",Medium,tropical fruit    peanut brittle    complex
Guatemala Familia Villatoro,Dawson Taylor Coffee Roasters,Guatemala,Huehuetenango,"Bourbon, Caturra",Medium,plum    almond    balanced
Organic Peru Cajamarca,Centri Coffee,Peru,"San Ignacio, Cajamarca","Bourbon, Catimor, Caturra, Pache, Typica",Medium,caramel    vanilla    balanced
Founders,Goshen Coffee Company,Varies Seasonally,"Africa, Latin America",not disclosed,Medium-light,citrus    tropical fruit    bright
Old School Tattoo,Goshen Coffee Company,Varies Seasonally,Latin America,not disclosed,Medium,caramel    orange    balanced
Tired Eye Decaf,Goshen Coffee Company,Colombia,Huila,"Caturra, Typica, Colombia, Catuaí",Medium-dark,chocolate    cherry    balanced
Ethiopia Biruhi,Goshen Coffee Company,Ethiopia,Yirgacheffe,Ethiopian heirloom,Light,lime    mango    floral
Colombia Sierra Nevada Sol Naciente,Red Rooster Coffee,Colombia,Sierra Nevada,"Caturra, Colombia",Medium-light,caramel    orange    vibrant
Islands in the Stream,Passion House Coffee Roasters,Honduras,Francisco Morazan,Yellow Catuaí,Medium-light,caramel apple    baking spice    balanced
Agua Fria,Alma Coffee,Honduras,San Sebastian,"Pacas, Caturra",Light,keylime    oolong    complex
Organic Crown Point ,Sightglass Coffee,"Latin America, East Africa",Rotates seasonally,not disclosed,Medium,chocolate    raspberry    syrupy
Small Farms Blend,Tony's Coffee,Latin America and Africa,not disclosed,not disclosed,Medium,cherry    grape    complex
Take Me Home,Greater Goods Coffee Roasters,Costa Rica,"San Marcos, Tarrazu",Catuaí,Light,toffee    vanilla    balanced
Kickstart Espresso,Greater Goods Coffee Roasters,"Colombia, Brazil, Nicaragua","Huila, Cerrado, Matagalpa","Bourbon, Castillo, Caturra, Typica",Medium,dark chocolate    brown sugar    full bodied
Slumber Decaf,Alma Coffee,Nicaragua,"Matagalpa, Nicaragua","Bourbon, Typica",Medium,chocolate    orange    dynamic
Decaf Flume Seasonal Blend,Ruby Coffee Roasters,"Brazil, Colombia","Carmo De Minas, Cauca","Bourbon, Caturra, Colombia",Medium,cocoa    nutmeg    balanced
Southpaw Espresso,PT's Coffee Roasting Co.,"Colombia, Ethiopia",not disclosed,not disclosed,Medium,caramel    peach    vibrant
Cafe Del Sol,Bird Rock Coffee Roasters,"Colombia, Ethiopia","Colombia, Ethiopia",not disclosed,Medium,clementine    blackberry    vibrant
Half Caff Kaldi,Kaldi's Coffee Roasting Co,"Brazil, Guatemala, El Salvador, Colombia",not disclosed,not disclosed,Medium-dark,chocolate    caramel    balanced
Organic Colombia Tolima,Centri Coffee,Colombia,"Planadas, Tolima, Colombia","Caturra, Castillo, Colombia, Typica",Medium,cherry    citrus    complex
Passion,Alma Coffee,Honduras,Copan,Lempira,Medium-dark,cacao    caramel    rich
Cold Brew,Panther Coffee Roasters,"Brazil, Nicaragua, Colombia",Various,not disclosed,Medium,malted chocolate    vanilla    balanced
En Masse,Metric Coffee Co.,"Peru, Guatemala",not disclosed,not disclosed,Medium,cherry    nougat    complex
Sumatra Mandheling,Dawson Taylor Coffee Roasters,Sumatra,not disclosed,"Bourbon, Catimor, Caturra, Typica",Medium,chocolate    earthy    full bodied
Haya Cold Brew,Kaldi's Coffee Roasting Co,"Ethiopia, Colombia",Latin America and Ethiopia,Various,Medium,chocolate    caramel    balanced
Inkwell Signature Blend,Quills Coffee,"Peru, Colombia","Cajamarca, Tolima",not disclosed,Medium,vanilla    cherry    balanced
Peru Pangoa,Higher Grounds Coffee,Peru,Satipo,"Typica, Caturra, Bourbon, Catimor",Medium,chocolate    sage    full bodied
Organic Decaf Majestic Blend,Centri Coffee,South America,various,not disclosed,Medium,chocolate    caramel    full bodied
Organic French Roast,Caffe Vita Coffee Roasting Co,"South America, Indonesia",not disclosed,not disclosed,Very Dark,smoky    chocolate    bold
Espresso Paladino ,Zoka Coffee Roasting Co,"Central and South America, Africa",not disclosed,not disclosed,Medium,chocolate    citrus    complex
Wild Child,Thou Mayest,Ethiopia,Sidamo,Ethiopian heirloom,Medium-light,fruity    floral    bright
French Roast Fair Trade Organic,Equator Coffees & Teas,not disclosed,"Latin America, Ethiopia, Sumatra",not disclosed,Medium-dark,smoky    chocolate    bold
Caffe Luna,Caffe Vita Coffee Roasting Co,Central and South America,not disclosed,not disclosed,Very Dark,chocolate    smores    full bodied
Watson Blend,Steadfast Coffee Roasters,"Mexico, Costa Rica",not disclosed,"Bourbon, Caturra, Catimor",Medium,milk chocolate    nutty    balanced
Organic Ethiopia Bedhatu Jibicho,Centri Coffee,Ethiopia,"Gedeb District, Gedeo Zone, Southern Nations, Nationalities, and Peoples'",Ethiopian Heirloom,Medium-light,blackberry    jasmine    juicy
Thesis Blend,Ceremony Coffee Roasters,"Brazil, Peru",not disclosed,not disclosed,Medium-light,caramel    baking spices    rich
Eye of the Tiger Espresso,Equator Coffees & Teas,not disclosed,"Latin America, Africa",not disclosed,Medium,chocolate    dried fruit    complex
Driftless Organic Blend,Wonderstate Coffee,Guatemala,San Marcos,not disclosed,Medium-dark,cocoa    toffee    balanced
Espresso Classico,Tony's Coffee,Central and South America,not disclosed,not disclosed,Medium,nutty    chocolate    balanced
Stacey Colombia Narino,Portrait Coffee,Colombia,Narino,"Colombia, Castillo, Caturra",Medium,caramel    hazelnut    rich
Brazil 45 Espresso,Equator Coffees & Teas,"Brazil, Colombia",various,not disclosed,Medium,chocolate    baking spices    full bodied
Stoker Blend,Tandem Coffee Roasters,El Salvador,Chalatenango,not disclosed,Medium,chocolate    honey    full bodied
Alchemistic Blend,Portola Coffee Roasters,Colombia and Costa Rica,Antioquia and Chirripo,"Typica, Caturra and Catuai",Light,chocolate    baking spices    full bodied
Founders,Portrait Coffee,"Colombia, Guatemala","Huehuetenango, Narino","Bourbon, Typica, Colombia, Castillo, Caturra",Medium,cocoa    nutty    dynamic
Ethiopia Sidama Ardi,Equator Coffees & Tea,Ethiopia,"Guji, Borena Hagermariam",Sidama Heirloom,Medium-light,lemon    berries    juicy
Deep Space Blend,Good Folks Coffee,Colombia,not disclosed,not disclosed,Medium-dark,smoky    nutty    bold
Red Cab,Barefoot Coffee Roasters,Brazil,"Carmo de Minas, Sul de Minas","Caturra, Catuai",Medium,chocolate    nutty    full bodied
Costa Rica Tarrazu,Mela Coffee Roasting Company,Costa Rica,Tarrazú,"Caturra, Typica",Medium,caramel    nutty    balanced
West End Blues Blend,Tandem Coffee Roasters,"Brazil, Ethiopia",not disclosed,not disclosed,Medium-light,toffee    nutty    rich
Double Dark Blend,Dillanos Coffee Roasters,not disclosed,Central and South America,not disclosed,Very Dark,smoky    chocolate    bold
Globe Trotter Blend,Good Folks Coffee,"Colombia, Peru, Tanzania",not disclosed,not disclosed,Medium-dark,caramel    nutty    full bodied
Blue Thunder Blend,Klatch Coffee,"Brazil, Colombia, Guatemala, Sumatra",not disclosed,not disclosed,Medium-dark,smoky    baking spices    rich
Blue Orchid Blend,Huckleberry Roasters,Brazil and Nicaragua,not disclosed,not disclosed,Medium,chocolate    caramel    full bodied
Colombia Nariño,Populace Coffee,Colombia,Nariño,"Caturra, Colombia, Castillo",Light,caramel    grapefruit    balanced
Alter Ego,Thou Mayest Coffee Roasters,"Brazil, Colombia","Carmo De Minas, Hulia","Bourbon, Catuai, Mundo Novo, Castillo, Caturra",Medium,chocolate    nutty    rich
Fast Track Blend,Good Folks Coffee,"Colombia, Peru, Tanzania",not disclosed,not disclosed,Medium-dark,chocolate    nutty    rich
Bright Minds,Greater Goods Coffee Roasters,Colombia,Huila,"Caturra, Castillo",Medium,tangerine    fudge    balanced
Café Carmelita Organic,Tony's Coffee,Central and South America,not disclosed,not disclosed,Medium-dark,chocolate    caramel    balanced
Aldo's Blend,1000 Faces Coffee Roasters,"Colombia, Brazil","San Agustin, Serra do Cigano","Caturra, Catuaí, Mundo Novo, Colombia, Castillo",Medium-dark,dark chocolate    molasses    rich
The Answer,Cat & Cloud Coffee,"Colombia, Brazil, Ethiopia","Huila, Mogiana, Yirgacheffe","Caturra, Yellow Bourbon, Ethiopian heirloom",Medium,chocolate    berries    balanced
Destroyer Espresso Blend,Ceremony Coffee Roasters,"Colombia, Ethiopia",not disclosed,not disclosed,Medium-light,caramel    citrus    balanced
Santee Alley,Bixby Roasting Co.,"Brazil, Guatemala, Sumatra",not disclosed,"Catuaí, Caturra, Typica, Bourbon",Very Dark,dark chocolate    almond    rich
Co-optiva Fair Trade Organic ,Colectivo Coffee,"Guatemala, Honduras",not disclosed,not disclosed,Medium,chocolate    molasses    full bodied
Organic Decaf One Black ,Centri Coffee,South America,not disclosed,various,Medium-dark,chocolate    caramel    rich
Hidden City,Zoka Coffee Roasting Co,Central and South America,not disclosed,not disclosed,Very Dark,smoky    caramel    bold
Costa Rica Naranjo La Rosa Washed,Brandywine Coffee Roasters,Costa Rica,Naranjo,"Caturra, Catuaí",Light,melon    honeysuckle    syrupy
Civitas Blend,Huckleberry Roasters,Latin America,not disclosed,"Bourbon, Pache, Typica",Medium-dark,chocolate    toasted nuts    rich
Decaf House Blend,Klatch Coffee,"Brazil, Costa Rica, Guatemala, Sumatra",not disclosed,not disclosed,Medium-dark,caramel    chocolate    rich
Bird Rock Blend,Bird Rock Coffee Roasters,"Colombia, Sulawesi","Colombia, Sulawesi",not disclosed,Medium,fudge    spice    rich
Classic French Roast,Sisters Coffee Company,Brazil,Mogiana,"Bourbon, Mundo Novo",Very Dark,dark chocolate    clove    full bodied
Kenya Mbegu Ndogo,Goshen Coffee Company,Kenya,"Kaliluni, Machakos County, Eastern Province","SL-28, SL-34, Ruiru 11",Light,lemon    pineapple    vibrant
Dreamer Decaf,Alma Coffee,Nicaragua,Matagalpa,"Bourbon, Typica",Medium-dark,chocolate    citrus    balanced
Italian Roast,Topeca Coffee Roasters,El Salvador,Santa Ana,Red Bourbon,Medium-dark,roasty    chocolate    rich
Brazil Sul De Minas,Steadfast Coffee Roasters,Brazil,Minas Gerais,"Yellow Bourbon, Mundo Novo, Icatú, Catuaí",Medium,cocoa    pomegranate    balanced
Dark Sumatra Mandheling,Dawson Taylor Coffee Roasters,Sumatra,Mandheling,"Typica, Catimor",Very Dark,cacao    earthy    rich
Mocha Java,Klatch Coffee,"Java, Ethiopia","East Java, Harrar",not disclosed,Medium,chocolate    fruity    balanced
Antithesis Blend,Ceremony Coffee Roasters,Mexico,Chiapas,"Typica, Bourbon, Mundo Novo",Medium,chocolate    nutty    full bodied
Rise & Shine,Greater Goods Coffee Roasters,"Colombia, Nicaragua",not disclosed,"Caturra, Catuaí, Castillo",Very Dark,dark chocolate    molasses    rich
Howie's Blend,Dillanos Coffee Roasters,"Colombia, Guatemala, Papua New Guinea",not disclosed,not disclosed,Medium-dark,chocolate    smoky    full bodied
Time and Temperature Espresso Blend,Tandem Coffee Roasters,"Ethiopia, Colombia",not disclosed,not disclosed,Light,blondie    red berry    rich
Good Vibes Brazil,Greater Goods Coffee Roasters,Brazil,Cerrado Mineiro,"Catuaí, Yellow Catuaí",Medium,peanut butter    dried cherry    full bodied
Friend Zone Decaf,Cat & Cloud Coffee,Ethiopia,Sidamo,Ethiopian heirloom,Medium-light,blackberry    molasses    balanced
Slow Track,Good Folks Coffee,"Tanzania, Colombia, Peru, Guatemala",not disclosed,"Typica, Bourbon, Catuaí",Medium-dark,dark chocolate    cacao nibs    syrupy
Tony's 50th Anniversary Blend,Tony's Coffee,"Central America, Ethiopia",not disclosed,not disclosed,Medium,citrus    milk chocolate    balanced
Decaf Espresso Blend,Temple Coffee,"Colombia, Guatemala","Antigua, Guatemala and Huila, Colombia","Colombia, Castillo, Caturra, Bourbon, Arabigo",Medium-dark,chocolate    pecan    rich
Creamery Blend,Ruby Coffee Roasters,South America and Africa,Various,various small holder producers,Medium-light,chocolate    nutty    rich
Sage Hills Blend,Mela Coffee Roasting Company,"Honduras, Sumatra",Mandheling,"Catuaí, Bourbon, Pacas, Typica, Catimor, Caturra",Medium,earthy    baking spices    syrupy
Big Riff,Metric Coffee Co.,not disclosed,Central America,not disclosed,Medium,dark chocolate    walnut    balanced
