,coffee_title,raoster_country,roaster,coffee_origin,coffee_region,farmer,variety,production,roast,review_text
31,"Kaffeebohnen Kavos Bankas „India Plantation AA“, 1 kg",Südamerika,Kavos Bankas,Asien,REGION: Karnataka,,"VARIETÄT: S.795, SLN.9",AUFBEREITUNG: Gewaschen,RÖSTUNGPROFIL: Mittel,"GESCHMACKSPALETTE: Kakao, Nelken"
32,"Kaffeebohnen Kavos Bankas „Brazil Sul de Minas“, 500 g",Asien,Kavos Bankas,Südamerika,REGION: Minas Gerais,,VARIETÄT: Typica ,AUFBEREITUNG: Natürlich,RÖSTUNGPROFIL: Mittel,"GESCHMACKSPALETTE: Nüsse, Schokolade"
33,"Kaffeebohnen Kavos Bankas „Colombia Medellin Excelso“, 500 g",Südamerika,Kavos Bankas,Südamerika,REGION: Medellín,,"VARIETÄT: Typica, Bourbon",AUFBEREITUNG: Gewaschen,RÖSTUNGPROFIL: Mittel,"GESCHMACKSPALETTE: Vollmilchschokolade, Nüsse"
34,"Kaffeebohnen Kavos Bankas „India Plantation AA“, 500 g",Südamerika,Kavos Bankas,Asien,REGION: Karnataka,,"VARIETÄT: S.795, SLN.9",AUFBEREITUNG: Gewaschen,RÖSTUNGPROFIL: Mittel,"GESCHMACKSPALETTE: Kakao, Nelken"
35,"Spezialität gemahlener Kaffee „Kenya Kariru“, 250 g",Asien,Coffee Friend,Kenia,REGION: Kirinyaga  ,KAFFEEFARM: Baragwi Coop.,"VARIETÄT: SL 34, SL 28",AUFBEREITUNG: Nasse,RÖSTUNG: Mittlere,"GESCHMACKSPALETTE: Himbeere, rote Johannisbeere, Apfel"
36,"Spezialität gemahlener Kaffee „Ethiopia Burtukaana“, 250 g",Kenia,Coffee Friend,Litauen,REGION: Guji,KAFFEEFARM: Anasora by Israel Degfa,VARIETÄT: Heirloom,AUFBEREITUNG: Trockene,RÖSTUNG: Mittlere,"GESCHMACKSPALETTE: Rhabarber, Heidelbeere, Vanille"
37,"Spezialität gemahlener Kaffee „Indonesia Sumatra“, 250 g",Litauen,Coffee Friend,Litauen,"REGION: Sumatra, Aceh, Gayo",KAFFEEFARM: Koptan Gayo Beseri,"VARIETÄT: Tim tim, Ateng",AUFBEREITUNG: Giling Basah,RÖSTUNG: Dunkle,"GESCHMACKSPALETTE: Rotwein, brauner Zucker, Zimt"
38,"Spezialität gemahlener Kaffee Kavos Gurmanai „Brazil Yellow Bourbon“, 250 g",Litauen,Kavos Gurmanai,Südamerika,REGION: Mantiqueira,,VARIETÄT: Gelber Bourbon,AUFBEREITUNG: Natürlich,,"GESCHMACKSPALETTE: Schokolade, Karamell, Hazenüsse, Beeren "
39,"Gemahlener Kaffee Kavos Gurmanai „Tanzania AA“, 250 g",Südamerika,Kavos Gurmanai,Afrika,REGION: Die Hänge des Kilimandscharo ,,,AUFBEREITUNG: Gewaschen,,"GESCHMACKSPALETTE: Walnüsse, Orange, Süßigkeiten "
40,"Spezialität gemahlener Kaffee Kavos Gurmanai „India AA“, 250 g",Afrika,Kavos Gurmanai,Asien,,,VARIETÄT: Mischung,AUFBEREITUNG: Gewaschen,,"GESCHMACKSPALETTE: Karamell, Nüsse, Orange, Rosinen "
41,"Spezialität gemahlener Kaffee Kavos Gurmanai „Peru EP1“, 250 g",Asien,Kavos Gurmanai,Südamerika,REGION: Cajamarca,,,AUFBEREITUNG: Gewaschen,,"GESCHMACKSPALETTE: Kirschen, Schokolade, Sirup "
42,"Spezialität gemahlener Kaffee Vero Coffee House „Peru Vila Rica“, 200 g",Südamerika,Vero Coffee House,Südamerika,,,,,,
43,"Spezialitätenkaffee „Nicaragua Limoncillo Ethiosar“, 200 g, ganze Bohne",Südamerika,Coffee Friend,"Nicaragua, Zentralamerika",REGION: Matagalpa,FARM: Limoncillo,VARIETÄT: Ethiosar,AUFBEREITUNG: Nasse anaerobe,,
44,"Spezialitätenkaffee „Guatemala El Socorro“, 200 g, ganze Bohne","Nicaragua, Zentralamerika",Coffee Friend,Guatemala,REGION: Palencia ,FARM: El Socorro,,,,
45,"Spezialitätenkaffee „Java Ruby Rimbun“, 200 g, ganze Bohne",Guatemala,Coffee Friend,Mittelhell,"REGION: Kamojang, West Java",FARM: Rimbun Jaya Abadi,VARIETÄT: Andungsgari,AUFBEREITUNG: Nasse,,
46,"Spezialitätenkaffee „Colombia La Cabana“, 200 g, ganze Bohne",Mittelhell,Coffee Friend,"Kolumbien, Südamerika",REGION: Huila,FARM: La Cabana,VARIETÄT: Caturra,AUFBEREITUNG: Natürliche (trockene) aerobe,,
47,"Spezialitätenkaffee Fucking Strong Coffee ,,Congo“, 250 g ganze Bohne","Kolumbien, Südamerika",Good Beans,Afrika,REGION: Idjwi,,,AUFBEREITUNG: Gewaschen,RÖSTUNGSPROFIL: Leicht bis mittel,"GESCHMACKSPALETTE: Blumig, Fruchtig, Lustig "
48,"Spezialitätenkaffee „Brazil Santa Luzia“, 1 kg ganze Bohne",Afrika,Coffee Friend,Brasilien,"REGION: Cerrado Mineiro, Minas Gerais",,,,,
49,"Spezialitätenkaffee „Nicaragua Maragogype“, 1 kg ganze Bohne",Brasilien,Coffee Friend,Zentralamerika,REGION: Matagalpa,KAFFEEFARM: Fincas Mierisch,VARIETÄT: Maragogype,AUFBEREITUNG: Nasse,RÖSTUNG: Mittlere,"GESCHMACKSPALETTE: Honig, Karamell, Gewürze"
50,"Spezialitätenkaffee „El Salvador El Rosario Sarchimor“, 250 g ganze Bohne",Zentralamerika,Coffee Friend,El Salvador,"REGION: Flor Amarilla Arriba, Santa Ana ",FARM: Finca El Rosario ,VARIETÄT: Sarchimor,AUFBEREITUNG: natürliche (trockene),,
51,"Sortenreine Kaffeebohnen „DR Congo Kivu“, 1 kg ganze Bohne",El Salvador,Coffee Friend,Afrika,REGION: Kivu,KAFFEEFARM: Kleinbauern,VARIETÄT: Bourbon,AUFBEREITUNG: Nasse,RÖSTUNG: Dunkle,"GESCHMACKSPALETTE: Marzipan, getrocknete Datteln, dunkle Schokolade"
52,"Spezialitätenkaffee „Papua New Guinea Sigri“, 1 kg ganze Bohne",Afrika,Coffee Friend,Asien,REGION: Wahgi Valley,KAFFEEFARM: Sigri Estate,VARIETÄT: Caturra,AUFBEREITUNG: Nasse,RÖSTUNG: Mittlere,"GESCHMACKSPALETTE: Lebkuchen, schwarzer Tee, Honig"
53,"Ungerösteter Spezialitätenkaffee „Brazil Fazenda Rainha“, 1 kg",Asien,Coffee Friend,Südamerika,REGION: Grama Valley,KAFFEEFARM: Fazenda Rainha,VARIETÄT: Yellow Bourbon,AUFBEREITUNG: Pulped Natural,,
54,"Spezialitätenkaffee „El Salvador Santa Petrona“, 1 kg ganze Bohne",Südamerika,Coffee Friend,Zentralamerika,REGION: Santa Ana  ,KAFFEEFARM: Santa Petrona by Federico Pacas Diaz,VARIETÄT: Pacamara,AUFBEREITUNG: Trockene,RÖSTUNG: Mittlere,"GESCHMACKSPALETTE: Marzipan, Schokolade, Zitronenschale"
55,"Spezialitätenkaffee „Guatemala La Hermosa“,  1 kg ganze Bohne",Zentralamerika,Coffee Friend,Zentralamerika,REGION: Acatenango,KAFFEEFARM: La Hermosa,"VARIETÄT: Caturra, Catuai, Pache",AUFBEREITUNG: Nasse,,
56,"Spezialitätenkaffee „Ethiopia Burtukaana“, 1 kg ganze Bohne",Zentralamerika,Coffee Friend,Äthiopien,REGION: Guji,KAFFEEFARM: Anasora by Israel Degfa,VARIETÄT: Heirloom,AUFBEREITUNG: Trockene,RÖSTUNG: Mittlere,"GESCHMACKSPALETTE: Rhabarber, Heidelbeere, Vanille"
57,"Spezialitätenkaffee „Jamaica Blue Mountain“, 250 g ganze Bohne",Äthiopien,Coffee Friend,Zentralamerika,"REGION: Clydesdale, Blue Mountains",KAFFEEFARM: Clydesdale Jamaica Blue Mountain Coffee,VARIETÄT: Blue Mountain,AUFBEREITUNG: Nasse,RÖSTUNG: Mittlere,"GESCHMACKSPALETTE: Tamarinde, Orange, Vollmilchschokolade"
58,"Sortenreine Kaffeebohnen „Kopi Luwak“, 250 g",Zentralamerika,Coffee Friend,Asien,REGION: Zentral-Java,KAFFEEFARM: Kleinbauern,VARIETÄT: Typica,AUFBEREITUNG: Luwak,RÖSTUNG: Mittelstarke,"GESCHMACKSPALETTE: Schokolade, Haselnuss, Karamell"
59,"Spezialitätenkaffee „Ethiopia Yirgacheffe“, 250 g ganze Bohne",Asien,Coffee Friend,Afrika,REGION: Yirgacheffee,KAFFEEFARM: Kleinbauern,VARIETÄT: Heriloom,AUFBEREITUNG: Nasse,RÖSTUNG: Mittlere,"GESCHMACKSPALETTE: Heidelbeere, Schwarze Johannisbeere, Vanille"
60,"Spezialitätenkaffee „Brazil Santa Luzia“, 1 kg ganze Bohne",Afrika,Coffee Friend,Brasilien,"REGION: Cerrado Mineiro, Minas Gerais",,,,,
61,"Spezialitätenkaffee „Nicaragua Maragogype“, 1 kg ganze Bohne",Brasilien,Coffee Friend,Zentralamerika,REGION: Matagalpa,KAFFEEFARM: Fincas Mierisch,VARIETÄT: Maragogype,AUFBEREITUNG: Nasse,RÖSTUNG: Mittlere,"GESCHMACKSPALETTE: Honig, Karamell, Gewürze"
62,"Spezialitätenkaffee „El Salvador El Rosario Sarchimor“, 250 g ganze Bohne",Zentralamerika,Coffee Friend,El Salvador,"REGION: Flor Amarilla Arriba, Santa Ana ",FARM: Finca El Rosario ,VARIETÄT: Sarchimor,AUFBEREITUNG: natürliche (trockene),,
63,"Sortenreine Kaffeebohnen „DR Congo Kivu“, 1 kg ganze Bohne",El Salvador,Coffee Friend,Afrika,REGION: Kivu,KAFFEEFARM: Kleinbauern,VARIETÄT: Bourbon,AUFBEREITUNG: Nasse,RÖSTUNG: Dunkle,"GESCHMACKSPALETTE: Marzipan, getrocknete Datteln, dunkle Schokolade"
64,"Spezialitätenkaffee „Papua New Guinea Sigri“, 1 kg ganze Bohne",Afrika,Coffee Friend,Asien,REGION: Wahgi Valley,KAFFEEFARM: Sigri Estate,VARIETÄT: Caturra,AUFBEREITUNG: Nasse,RÖSTUNG: Mittlere,"GESCHMACKSPALETTE: Lebkuchen, schwarzer Tee, Honig"
65,"Ungerösteter Spezialitätenkaffee „Brazil Fazenda Rainha“, 1 kg",Asien,Coffee Friend,Südamerika,REGION: Grama Valley,KAFFEEFARM: Fazenda Rainha,VARIETÄT: Yellow Bourbon,AUFBEREITUNG: Pulped Natural,,
66,"Spezialitätenkaffee „El Salvador Santa Petrona“, 1 kg ganze Bohne",Südamerika,Coffee Friend,Zentralamerika,REGION: Santa Ana  ,KAFFEEFARM: Santa Petrona by Federico Pacas Diaz,VARIETÄT: Pacamara,AUFBEREITUNG: Trockene,RÖSTUNG: Mittlere,"GESCHMACKSPALETTE: Marzipan, Schokolade, Zitronenschale"
67,"Spezialitätenkaffee „Guatemala La Hermosa“,  1 kg ganze Bohne",Zentralamerika,Coffee Friend,Zentralamerika,REGION: Acatenango,KAFFEEFARM: La Hermosa,"VARIETÄT: Caturra, Catuai, Pache",AUFBEREITUNG: Nasse,,
68,"Spezialitätenkaffee „Ethiopia Burtukaana“, 1 kg ganze Bohne",Zentralamerika,Coffee Friend,Äthiopien,REGION: Guji,KAFFEEFARM: Anasora by Israel Degfa,VARIETÄT: Heirloom,AUFBEREITUNG: Trockene,RÖSTUNG: Mittlere,"GESCHMACKSPALETTE: Rhabarber, Heidelbeere, Vanille"
69,"Spezialitätenkaffee „Jamaica Blue Mountain“, 250 g ganze Bohne",Äthiopien,Coffee Friend,Zentralamerika,"REGION: Clydesdale, Blue Mountains",KAFFEEFARM: Clydesdale Jamaica Blue Mountain Coffee,VARIETÄT: Blue Mountain,AUFBEREITUNG: Nasse,RÖSTUNG: Mittlere,"GESCHMACKSPALETTE: Tamarinde, Orange, Vollmilchschokolade"
70,"Sortenreine Kaffeebohnen „Kopi Luwak“, 250 g",Zentralamerika,Coffee Friend,Asien,REGION: Zentral-Java,KAFFEEFARM: Kleinbauern,VARIETÄT: Typica,AUFBEREITUNG: Luwak,RÖSTUNG: Mittelstarke,"GESCHMACKSPALETTE: Schokolade, Haselnuss, Karamell"
71,"Spezialitätenkaffee „Ethiopia Yirgacheffe“, 250 g ganze Bohne",Asien,Coffee Friend,Afrika,REGION: Yirgacheffee,KAFFEEFARM: Kleinbauern,VARIETÄT: Heriloom,AUFBEREITUNG: Nasse,RÖSTUNG: Mittlere,"GESCHMACKSPALETTE: Heidelbeere, Schwarze Johannisbeere, Vanille"
