,coffee_title,roaster,coffee_origin,coffee_region,variety,farmer,roast_level,flavor,coffee_type,altitude
19,Decaf Vagabond Espresso Blend,Evans Brothers Coffee Roasters,"Brazil, Ethiopia, Sumatra",,,,Medium,"['caramel', 'baking spices', 'bold']",,1600 - 2000
20,Decaf Espresso,Topeca Coffee Roasters,Colombia,,"Castillo, Caturra, Colombia",,Medium,"['chocolate', 'stone fruit', 'balanced']",,1200-1800
21,Little Italy Blend,Bird Rock Coffee Roasters,"Guatemala, Brazil",South America,Blend,,Medium,"['cacao', 'macadamia', 'rich']",Blend,
22,Ethiopia Yirgacheffe Kochere,Alma Coffee,Ethiopia,"Kochere, Yirgacheffe",Ethiopian heirloom,Cheffe Hilina Trading PLC,Light,"['orange', 'lavender', 'delicate']",Single Origin,1800 - 2200
23,Leticia Lopez Natural Process,Alma Coffee,Honduras,Copan,Parainema,Leticia Lopez Hutchins,Light,"['raspberry', 'cherry', 'juicy']",Single Origin,1400
24,Ethiopia Yirgacheffe Misty Valley,Dawson Taylor Coffee Roasters,Ethiopia,Yirgacheffe,Ethiopian Heirloom,Aricha Station,Medium-light,"['stone fruit', 'berries', 'sparkling']",Single Origin,1925
25,Half Calf Blend,Tony's Coffee,"Peru, Nicaragua, Colombia, El Salvador, Guatemala, Honduras, Mexico",,,,Medium,"['toffee', 'almond', 'rich']",,
26,Sun Bear Iced Coffee Blend,Kuma Coffee,"Central America, Africa",,,various small holder producers,Medium-light,"['chocolate', 'berries', 'refreshing']",Blend,1700 - 2100
27,Galactic Standard Espresso Blend,Brandywine Coffee Roasters,"Colombia, Burundi, Ethiopia",,,,Light,"['berries', 'citrus', 'bright']",Espresso,
28,Costa Rica La Pastora,Methodical Coffee,Costa Rica,Tarrazu,"Caturra, Catuaí",CoopeTarrazu,Medium,"['plum', 'ginger', 'juicy']",Single Origin,1200 - 1900
29,Sweetheart Single Origin Espresso,Olympia Coffee Roasting Co,Changes seasonally,Peru,,,Medium,"['milk chocolate', 'berries', 'balanced']",Espresso,
30,Decaf Café Carmelita FTO,Tony's Coffee,Central and South America,,,,Medium-dark,"['chocolate', 'caramel', 'full bodied']",,
31,Headwall Espresso,Evans Brothers Coffee Roasters,"Brazil, Colombia, Ethiopia",,,,Medium-light,"['chocolate', 'fruity', 'complex']",Espresso,1600 - 2000
32,Play Nice Blend,Methodical Coffee,"Colombia, Ethiopia","Tolima, Sidama","Caturra, Castillo, 74/158, 74/110, Setami, Mikicho",various small producers,Medium,"['brown sugar', 'berries', 'juicy']",Blend,1800 - 2000
33,Ethiopia Colorized Blend,Metric Coffee Co.,Ethiopia,Guji,Ethiopian heirloom,Kata Muduga and Snap,Light,"['grape', 'wildflower', 'vibrant']",Single Origin,1800-2100
34,Ethiopia Ardi Natural,Portola Coffee Roasters,Ethiopia,Sidama,Ethiopian heirloom,Kilenso Moconissa producers,Light,"['berries', 'honeysuckle', 'juicy']",Single Origin,1850-1950
35,Ethiopia Yebesele Natural,Goshen Coffee Company,Ethiopia,"Aricha, Yirgacheffe",Ethiopian heirloom,Aricha Mill,Light,"['berries', 'citrus zest', 'juicy']",Single Origin,1600 - 2100
36,Geometry Blend,Onyx Coffee Lab,"Ethiopia, Colombia","Oromia, Nariño","Caturra, Bourbon, Ethiopian heirloom","Hambela farm, Aponte Village",Medium-light,"['chocolate', 'fruity', 'rich']",Blend,1700 - 2200
37,Ethiopia Organic Tatatu Natural,Cartel Roasting Co.,Ethiopia,"Gedeb, Yirgacheffe",Ethiopian heirloom,Birhanu Wote,Light,"['blueberry', 'cocoa', 'juicy']",Single Origin,1750 – 2300
38,Monkey Bite Espresso,Bird Rock Coffee Roasters,"Ethiopia, Brazil, Colombia",,,,Medium,"['brown sugar', 'dried fruit', 'vibrant']",Espresso,
39,Orion Espresso,Spyhouse Coffee Roasting Co,"Brazil, Ethiopia and Guatemala",,various,various small producers,Medium-light,"['chocolate', 'dark berries', 'rich']",Espresso,
40,Organic Blueboon,Sightglass Coffee,"Colombia, Ethiopia","Central America, East Africa",,,Medium,"['milk chocolate', 'mandarin', 'balanced']",Blend,
41,Frio Cold Brew,Alma Coffee,Honduras,Copan,Parainema,Finca La Unica,Medium-dark,"['chocolate', 'nutty', 'rich']",Single Origin,1400
42,Owl's Howl,Sightglass Coffee,"Colombia, Ethiopia","Latin America, East Africa",,,Medium,"['chocolate', 'stone fruit', 'rich']",Espresso,
43,Colombia Bubble Gum,Dawson Taylor Coffee Roasters,Colombia,Caldas,Caturra,El Jardin,Light,"['raspberry', 'kiwi', 'juicy']",Single Origin,1850
44,Fall Line Espresso,Evans Brothers Coffee Roasters,"Brazil, Colombia, Guatemala",,,,Medium,"['chocolate', 'caramel', 'rich']",Espresso,1600
45,Belly Warmer Blend,Methodical Coffee,"Costa Rica, Brazil","Tarrazu, São Paulo",,"CoopeTarrazú, São Paulo producers",Medium,"['dark chocolate', 'almond', 'rich']",Blend,
46,Sound & Vision Blend,Huckleberry Roasters,"East Africa, Latin America",,"Caturra, Ethiopian Heirloom, Bourbon, Typica",,Medium,"['caramel', 'nutty', 'syrupy']",Blend,1100 - 2200
47,Soulmate,Alma Coffee,Honduras,Copan,Parainema,Finca la Unica,Medium,"['milk chocolate', 'walnut', 'balanced']",Single Origin,1400
48,Phantom Limb Blend,Huckleberry Roasters,Ethiopia,"Yirgacheffe, Sidamo",Ethiopian hierloom,various small holder producers,Medium,"['fruity', 'citrus', 'bright']",,1900 - 2100
49,Big Dipper Organic Blend,Wonderstate Coffee,Guatemala,Huehuetenango,,CODECH Cooperative,Very Dark,"['fudge', 'vanilla', 'rich']",Blend,
50,Climate Project,Ceremony Coffee Roasters,Mexico,,"Bourbon, Caturra, Typica, Mundo Novo",,Medium,"['chocolate', 'almond', 'balanced']",Single Origin,1500
51,Espresso Blend,Sisters Coffee Company,"Colombia, Peru, Rwanda","Antioquia, Chanchamayo, Nyampinga","Castillo, Colombia, Red Bourbon, Caturra","Finca Tablazo, Finca Cinco Corazones, Nyampinga Women's Cooperative",Medium,"['praline', 'melon', 'balanced']",Espresso,1100 - 1800
52,Ethiopia Guji,Kuma Coffee,Ethiopia,Guji,Ethiopian Heirloom,,Medium-light,"['citrus', 'wildflowers', 'complex']",Single Origin,1800-2100
53,Elevation Cold Brew,Dillanos Coffee Roasters,,Central and South America,various,small holder producers,Medium-dark,"['chocolate', 'hazelnut', 'full bodied']",Blend,
54,Sugar Bee Espresso,Tony's Coffee,,"Latin America, Africa",,,Medium,"['milk chocolate', 'honey', 'syrupy']",Espresso,
55,High Desert Sunrise,Sisters Coffee Company,"Colombia, Peru","Tolima, Chanchamayo","Bourbon, Caturra, Castillo, Colombia","Finca Cinco Corazones, Finca Matapalo, Cooperativa Copaceyba",Medium,"['chocolate', 'hazelnut', 'balanced']",Blend,1100 - 1800
56,Guatemalan Palo Blanco,Noble Coffee Roasting,Guatemala,Huehuetenango,"Bourbon, Caturra, Catuaí",Iván Ovalle Altuve,Medium,"['peach', 'brown sugar', 'vibrant']",Single Origin,1600 - 1890
57,Enchanted,Alma Coffee,Honduras,"Copan, Honduras","Lempira, Cafe 90","Al Lopez, Finca Terrerito",Medium-dark,"['dark chocolate', 'nutty', 'rich']",Single Origin,1000
58,Decaf Espresso Paladino ,Zoka Coffee Roasting Co,Central and South America,,,,Medium-dark,"['chocolate', 'caramel', 'rich']",,
59,Darker the Cherry,Portrait Coffee,Brazil,"Cerrado Mineiro, Minas Gerais",Catuaí,,Medium-dark,"['chocolate', 'toasted walnut', 'rich']",Single Origin,1100
60,Peru Valle Inca,Temple Coffee,Peru,Cusco,"Caturra, Typica, Bourbon",Valle Inca,Medium-light,"['almond', 'orange', 'delicate']",Single Origin,1600-2000
61,Zingo Espresso,Topeca Coffee Roasters,"Brazil, El Salvador, Sumatra and Ethiopia",,,various small producers,Medium,"['chocolate', 'fruity', 'rich']",,
62,Essence,Alma Coffee,Honduras,Copan,Parainema,"Leticia Lopez Hutchins, Finca la Unica",Medium-dark,"['dark chocolate', 'almond', 'balanced']",Espresso,1400
63,Streetlevel ,Verve Coffee Roasters,"Colombia, Honduras, Guatemala",,,various small holder producers,Medium-light,"['red apple', 'citrus', 'balanced']",,1500-2000
64,Tigerwalk Espresso,Equator Coffees & Teas,"Colombia, Brazil, Kenya",,,various small holder producers,Medium,"['chocolate', 'fruity', 'balanced']",,
65,Banner Dark,Sightglass Coffee,"Guatemala, Colombia",Central & South America,,,Medium-dark,"['cocoa', 'toffee', 'rich']",Blend,
66,Desert City Dark,Cartel Roasting Co.,"Brazil, Guatemala",,,,Medium-dark,"['chocolate', 'macadamia nut', 'full bodied']",Blend,
67,Colombia La Piramide,Tandem Coffee Roasters,Colombia,Inzá,"Caturra, Typica",Inza small producers,Medium-light,"['red apple', 'sugar cane', 'juicy']",Single Origin,1700 - 2000
68,Porch Session,Topeca Coffee Roasters,"Brazil, El Salvador",,,,Medium,"['caramel', 'chocolate', 'rich']",Blend,
69,Little Buddy Blend,Olympia Coffee Roasting Co,"Ethiopia, Kenya",,,,Medium-light,"['stone fruit', 'chocolate', 'complex']",Blend,1700 - 2000
70,Monarch,Onyx Coffee Lab,"Ethiopia, Guatemala",,,,Medium,"['chocolate', 'caramel', 'rich']",Blend,2000 - 2100
71,Off Grid Organic Blend,Wonderstate Coffee,Guatemala,Huehuetenango,,CODECH Cooperative,Very Dark,"['cocoa', 'roasty', 'rich']",Blend,
72,Redcab Espresso,Barefoot Coffee Roasters,Brazil,"Carmo de Minas, Sul de Minas",Bourbon and Catuai,various small holder producers,Medium,"['chocolate', 'nutty', 'rich']",Espresso,1100 - 1200
73,Flying Monkey Espresso,PT's Coffee Roasting Co.,"Brazil, Colombia, Sumatra",,,,Medium-dark,"['milk chocolate', 'graham cracker', 'balanced']",Espresso,
74,S.O. Blend,Coava Coffee Roasters,The Americas & East Africa,,,Select,Medium,"['chocolate', 'baking spice', 'rich']",Blend,1200-1800
75,Sisters Blend,Sisters Coffee Company,"Brazil, Colombia, Peru, Rwanda","Mogiana, Tolima, Chanchamayo, Nyampinga","Bourbon, Red Bourbon, Colombia, Castillo, Caturra",various small producers,Medium,"['walnut', 'cedar', 'full bodied']",Blend,1000 - 1800
76,House Espresso,Klatch Coffee,"Central and South America, Indonesia",,,various small holder producers,Medium,"['walnut', 'orange', 'rich']",Espresso,1300 - 1900
77,Organic One Black Espresso,Centri Coffee,"Colombia, Brazil","Matas de Minas, Mesa De Los Santos","Typica, Red Caturra, Catuaí, Yellow Catuaí, Castillo",,Medium-light,"['chocolate', 'shortbread', 'syrupy']",Espresso,550 - 1600
78,Colombia SugarCane Decaf,Topeca Coffee Roasters,Colombia,Pijao,,,Medium-light,"['caramel', 'citrus', 'full bodied']",,1200 - 1800
79,Espresso Noir Fair Trade & Organic,Tony's Coffee,Central and South America,,,,Medium-dark,"['smoky', 'caramel', 'full bodied']",Espresso,
80,Organic Toketee,Sightglass Coffee,"Central & South America, Pacific",Rotates seasonally,,,Medium,"['cacao nib', 'apricot', 'balanced']",Blend,
81,Organic Rainforest Blend ,Klatch Coffee,"Brazil, Colombia, Honduras, Guatemala",,,various small holder producers,Medium,"['chocolate', 'caramel', 'full bodied']",Blend,1450 - 1800
82,Diablo Blend Fair Trade & Organic,Ladro Roasting,,,,Varies Seasonally,Medium-dark,"['smoky', 'brown sugar', 'full bodied']",Blend,
83,Morning Sun,Olympia Coffee Roasting Co,Colombia,Tolima,"Caturra, Colombia",,Medium,"['chocolate', 'hazelnut', 'full bodied']",Single Origin,1600-1900
84,Caffe Del Sol,Caffe Vita Coffee Roasting Co,"South America, Indonesia, Africa",,,,Medium,"['chocolate', 'caramel', 'complex']",Espresso,1200 - 2200
85,Dharma Espresso Blend,Temple Coffee,"Brazil, Guatemala, Ethiopia","Minas Gerais, Sidamo, Alotenango",,various small producers,Medium-light,"['fudge', 'almond', 'lingering']",Espresso,1000-1500
86,Three Pillars Blend,Temple Coffee,"Honduras, Colombia, Guatemala","Ocotepeque, Nariño, Antigua",,Mixed smallholder farmers,Medium,"['chocolate', 'caramel', 'balanced']",Blend,
87,World Tour Organic Espresso Blend,Noble Coffee Roasting,"Brazil, Honduras, Ethiopia and Sumatra",,,various small producers,Medium,"['nutty', 'chocolate', 'rich']",Espresso,
88,Espresso 700,Kaldi's Coffee Roasting Co,"Guatemala, Brazil, El Salvador",,,,Medium,"['caramel', 'chocolate', 'rich']",Espresso,
89,Vancouver Swiss Water Decaf,Verve Coffee Roasters,,Latin America,,,Medium,"['caramel', 'chocolate', 'full bodied']",,
90,Organic Espresso Cuatro,Zoka Coffee Roasting Co,"Africa, Central and South America",,,,Medium,"['chocolate', 'nutty', 'full bodied']",Espresso,
91,Big Timber Blend,Evans Brothers Coffee Roasters,"Ethiopia, Guatemala, Sumatra",,,,Medium-dark,"['smoky', 'chocolate', 'full bodied']",Blend,1200 - 1600
92,Upland Fair Trade & Organic,Tony's Coffee,Central & South America,,,,Medium,"['milk chocolate', 'almond', 'balanced']",Blend,
93,Blue Boy Blend,Methodical Coffee,"Guatemala, Colombia","Huehuetenango, Tolima","Bourbon, Caturra, Castillo",,Medium,"['chocolate', 'brown sugar', 'balanced']",Blend,1500 - 2000
94,Guatemala Huehuetenango Dark Roast,Evans Brothers Coffee Roasters,Guatemala,Huehuetenango,"Caturra, Catuaí, Bourbon, Pache",Coordinadora de Organizaciones de Desarollo de Concepcion Huista (CODECH),Medium-dark,"['dark chocolate', 'roasty', 'full bodied']",Single Origin,1400 - 2000
95,The Sermon Espresso ,Verve Coffee Roasters,"Brazil, Colombia and Ethiopia","Minas Gerais, Cauca and Guji","Catuai, Bourbon and Ethiopian heirloom",various small producers,Medium-light,"['fruity', 'chocolate', 'rich']",,1000 - 2000
96,Synthesis,Ceremony Coffee Roasters,Guatemala,Chimaltenango,"Typica, Bourbon, Caturra, Catuai",various small holder producers,Medium,"['caramel', 'nutty', 'full bodied']",Blend,1500 - 1700
97,Italian Roast,Klatch Coffee,"Brazil, Colombia, Guatemala, Sumatra",,,various small holder producers,Medium-dark,"['toasty', 'nutty', 'rich']",Single Origin,1600 - 1900
98,Ethiopia Kercha Natural,Cat & Cloud Coffee,Ethiopia,Guji,Ethiopian Heirloom,,Medium-light,"['strawberry', 'chocolate', 'balanced']",Single Origin,1800 - 2200
99,Organic West Coast Roast,Centri Coffee,South America,Various,,,Medium-dark,"['roasty', 'chocolate', 'full bodied']",Blend,
100,Big Joy Espresso,Camber Coffee,Guatemala,,,,Medium-light,"['red apple', 'pear', 'complex']",Espresso,
101,Big Truck Organic ,Olympia Coffee Roasting Co,"Colombia, Ethiopia",,,various small holder producers,Medium,"['chocolate', 'berries', 'full bodied']",Blend,2000 - 2300
102,Waxwing Blend,Red Rooster Coffee,"Colombia, Honduras","Huila, Marcala","Colombia, Castillo, Caturra, Bourbon","Angelina Gomez, Comsa Cooperative",Medium,"['chocolate', 'caramel', 'full bodied']",Blend,1400 - 2000
103,Bold and the Beautiful Organic,Spyhouse Coffee Roasters,,Varies Seasonally,,,Medium,"['Crème Brûlée', 'black walnut', 'full bodied']",Blend,
104,Justice,Higher Grounds Coffee,"Ethiopia, Guatemala",,,various small holder producers,Medium-light,"['caramel', 'citrus', 'delicate']",Blend,
105,Black & Tan,Colectivo Coffee,"Honduras, Peru",,,,Very Dark,"['smoky', 'caramel', 'full bodied']",Blend,
106,Jaguar Espresso Fair Trade Organic,Equator Coffees & Teas,,"Ethiopia, Sumatra, Peru",,,Medium-dark,"['nutty', 'baking spices', 'rich']",,
107,Skeleton Key Decaf ,Huckleberry Roasters,Colombia,"Risaralda, Apia",,various smallholder producers,Medium-light,"['chocolate', 'nutty', 'rich']",,1500 - 1900
108,Rwanda Kinaze Mbuye Hill,Portrait Coffee,Rwanda,Ruhango District,Red Bourbon,Kinazi Mbuye Hill,Medium-light,"['green apple', 'berry', 'bright']",Single Origin,1600-1800
109,Honduras Damien Chavez Anaerobic,Cat & Cloud Coffee,Honduras,Santa Barbara,Parainema,Damein Chavez,Medium-light,"['watermelon', 'hibiscus', 'vibrant']",Single Origin,1500-2000
110,Honduras Damien Chavez Washed,Cat & Cloud Coffee,Honduras,Santa Barbara,Parainema,Damien Chavez,Medium-light,"['lemon', 'nectarine', 'bright']",Single Origin,1500-2000
111,Guatemala Women's Group Huehuetenango,Barefoot Coffee Roasters,Guatemala,"Aldea Q’om, Huehuetenango","Caturra, Catuaí, Bourbon",19 women-owned farms,Medium,"['tropical fruit', 'peanut brittle', 'complex']",Single Origin,1650-1850
112,Guatemala Familia Villatoro,Dawson Taylor Coffee Roasters,Guatemala,Huehuetenango,"Bourbon, Caturra",Villatoro family,Medium,"['plum', 'almond', 'balanced']",Single Origin,1700
113,Organic Peru Cajamarca,Centri Coffee,Peru,"San Ignacio, Cajamarca","Bourbon, Catimor, Caturra, Pache, Typica",small producers,Medium,"['caramel', 'vanilla', 'balanced']",Single Origin,1500-1900
114,Founders,Goshen Coffee Company,Varies Seasonally,"Africa, Latin America",,,Medium-light,"['citrus', 'tropical fruit', 'bright']",Blend,900 - 2100
115,Old School Tattoo,Goshen Coffee Company,Varies Seasonally,Latin America,,,Medium,"['caramel', 'orange', 'balanced']",Blend,900 - 1900
116,Tired Eye Decaf,Goshen Coffee Company,Colombia,Huila,"Caturra, Typica, Colombia, Catuaí",,Medium-dark,"['chocolate', 'cherry', 'balanced']",,1400 - 1900
117,Ethiopia Biruhi,Goshen Coffee Company,Ethiopia,Yirgacheffe,Ethiopian heirloom,various,Light,"['lime', 'mango', 'floral']",Single Origin,1900 - 2200
118,Colombia Sierra Nevada Sol Naciente,Red Rooster Coffee,Colombia,Sierra Nevada,"Caturra, Colombia",Sol Naciente coop,Medium-light,"['caramel', 'orange', 'vibrant']",Single Origin,
119,Islands in the Stream,Passion House Coffee Roasters,Honduras,Francisco Morazan,Yellow Catuaí,Proyecto Ojojona,Medium-light,"['caramel apple', 'baking spice', 'balanced']",Single Origin,"1,600 meters"
120,Agua Fria,Alma Coffee,Honduras,San Sebastian,"Pacas, Caturra",Sergio Molina,Light,"['keylime', 'oolong', 'complex']",Single Origin,1900 - 2000
121,Organic Crown Point ,Sightglass Coffee,"Latin America, East Africa",Rotates seasonally,,,Medium,"['chocolate', 'raspberry', 'syrupy']",Espresso,
122,Small Farms Blend,Tony's Coffee,Latin America and Africa,,,small producers,Medium,"['cherry', 'grape', 'complex']",Blend,
123,Take Me Home,Greater Goods Coffee Roasters,Costa Rica,"San Marcos, Tarrazu",Catuaí,"Hermanos Solis, Don Oscar Mill",Light,"['toffee', 'vanilla', 'balanced']",Single Origin,1650 - 2000
124,Kickstart Espresso,Greater Goods Coffee Roasters,"Colombia, Brazil, Nicaragua","Huila, Cerrado, Matagalpa","Bourbon, Castillo, Caturra, Typica","Fazenda Santo Antonio, Bochica, El Triunfo",Medium,"['dark chocolate', 'brown sugar', 'full bodied']",Espresso,1300 - 1800
125,Slumber Decaf,Alma Coffee,Nicaragua,"Matagalpa, Nicaragua","Bourbon, Typica",Selva Negra,Medium,"['chocolate', 'orange', 'dynamic']",,1400
126,Decaf Flume Seasonal Blend,Ruby Coffee Roasters,"Brazil, Colombia","Carmo De Minas, Cauca","Bourbon, Caturra, Colombia",,Medium,"['cocoa', 'nutmeg', 'balanced']",,1300 - 1600
127,Southpaw Espresso,PT's Coffee Roasting Co.,"Colombia, Ethiopia",,,,Medium,"['caramel', 'peach', 'vibrant']",Espresso,
128,Cafe Del Sol,Bird Rock Coffee Roasters,"Colombia, Ethiopia","Colombia, Ethiopia",,,Medium,"['clementine', 'blackberry', 'vibrant']",Blend,
129,Half Caff Kaldi,Kaldi's Coffee Roasting Co,"Brazil, Guatemala, El Salvador, Colombia",,,,Medium-dark,"['chocolate', 'caramel', 'balanced']",Blend,
130,Organic Colombia Tolima,Centri Coffee,Colombia,"Planadas, Tolima, Colombia","Caturra, Castillo, Colombia, Typica",Asociación de Productores Ecológicos de Planadas (ASOPEP),Medium,"['cherry', 'citrus', 'complex']",Single Origin,1400 - 2100
131,Passion,Alma Coffee,Honduras,Copan,Lempira,"Al Lopez, Finca Terrerito",Medium-dark,"['cacao', 'caramel', 'rich']",Single Origin,1000
132,Cold Brew,Panther Coffee Roasters,"Brazil, Nicaragua, Colombia",Various,,Various,Medium,"['malted chocolate', 'vanilla', 'balanced']",Blend,1100 - 1200
133,En Masse,Metric Coffee Co.,"Peru, Guatemala",,,various small producers,Medium,"['cherry', 'nougat', 'complex']",Blend,
134,Sumatra Mandheling,Dawson Taylor Coffee Roasters,Sumatra,,"Bourbon, Catimor, Caturra, Typica",,Medium,"['chocolate', 'earthy', 'full bodied']",Single Origin,1200 - 1500
135,Haya Cold Brew,Kaldi's Coffee Roasting Co,"Ethiopia, Colombia",Latin America and Ethiopia,Various,,Medium,"['chocolate', 'caramel', 'balanced']",Blend,
136,Inkwell Signature Blend,Quills Coffee,"Peru, Colombia","Cajamarca, Tolima",,,Medium,"['vanilla', 'cherry', 'balanced']",Blend,
137,Peru Pangoa,Higher Grounds Coffee,Peru,Satipo,"Typica, Caturra, Bourbon, Catimor",Pangoa Cooperative,Medium,"['chocolate', 'sage', 'full bodied']",Single Origin,1300-1900
138,Organic Decaf Majestic Blend,Centri Coffee,South America,various,,,Medium,"['chocolate', 'caramel', 'full bodied']",,
139,Organic French Roast,Caffe Vita Coffee Roasting Co,"South America, Indonesia",,,,Very Dark,"['smoky', 'chocolate', 'bold']",Blend,1300 - 2000
140,Espresso Paladino ,Zoka Coffee Roasting Co,"Central and South America, Africa",,,,Medium,"['chocolate', 'citrus', 'complex']",Espresso,
141,Wild Child,Thou Mayest,Ethiopia,Sidamo,Ethiopian heirloom,various small holder producers,Medium-light,"['fruity', 'floral', 'bright']",Single Origin,1900 - 2000
142,French Roast Fair Trade Organic,Equator Coffees & Teas,,"Latin America, Ethiopia, Sumatra",,various small holder producers,Medium-dark,"['smoky', 'chocolate', 'bold']",,
143,Caffe Luna,Caffe Vita Coffee Roasting Co,Central and South America,,,,Very Dark,"['chocolate', 'smores', 'full bodied']",Blend,1500 - 1900
144,Watson Blend,Steadfast Coffee Roasters,"Mexico, Costa Rica",,"Bourbon, Caturra, Catimor",,Medium,"['milk chocolate', 'nutty', 'balanced']",Blend,1700
145,Organic Ethiopia Bedhatu Jibicho,Centri Coffee,Ethiopia,"Gedeb District, Gedeo Zone, Southern Nations, Nationalities, and Peoples'",Ethiopian Heirloom,Bedhatu Jibicho,Medium-light,"['blackberry', 'jasmine', 'juicy']",Single Origin,1800 – 1900
146,Thesis Blend,Ceremony Coffee Roasters,"Brazil, Peru",,,,Medium-light,"['caramel', 'baking spices', 'rich']",,
147,Eye of the Tiger Espresso,Equator Coffees & Teas,,"Latin America, Africa",,,Medium,"['chocolate', 'dried fruit', 'complex']",,
148,Driftless Organic Blend,Wonderstate Coffee,Guatemala,San Marcos,,San Fernando Cooperative,Medium-dark,"['cocoa', 'toffee', 'balanced']",Blend,
149,Espresso Classico,Tony's Coffee,Central and South America,,,,Medium,"['nutty', 'chocolate', 'balanced']",Espresso,
150,Stacey Colombia Narino,Portrait Coffee,Colombia,Narino,"Colombia, Castillo, Caturra",Buesaco Community,Medium,"['caramel', 'hazelnut', 'rich']",Single Origin,2000
151,Brazil 45 Espresso,Equator Coffees & Teas,"Brazil, Colombia",various,,various small holder producers,Medium,"['chocolate', 'baking spices', 'full bodied']",,
152,Stoker Blend,Tandem Coffee Roasters,El Salvador,Chalatenango,,,Medium,"['chocolate', 'honey', 'full bodied']",Blend,
153,Alchemistic Blend,Portola Coffee Roasters,Colombia and Costa Rica,Antioquia and Chirripo,"Typica, Caturra and Catuai",Roaster United Competition Collective and Imperio Rojo,Light,"['chocolate', 'baking spices', 'full bodied']",,1100 - 1900
154,Founders,Portrait Coffee,"Colombia, Guatemala","Huehuetenango, Narino","Bourbon, Typica, Colombia, Castillo, Caturra",,Medium,"['cocoa', 'nutty', 'dynamic']",Blend,1500 - 1800
